detector,scope,outcome,feature,feature_label,unit,complete_pairs,tasks,informative_task_feedback_prompt_strata,within_stratum_sd_in_reported_units,risk_difference_per_unit,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,within_stratum_permutation_p,standardized_risk_difference,standardized_ci_low,standardized_ci_high,bh_q_within_scope_feature_family,bh_q_across_majority_scope_feature_family,bh_q_across_detector_sensitivity_family
claude-opus-4-8,base,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",180,30,60,0.6954246572339011,-0.021138619290920545,-0.061784609983453614,0.020325676888693214,0.3538646135386461,-0.01470031707478635,-0.0429665412200735,0.014134976883366504,0.47181948471819485,,0.808823465479539
claude-opus-4-8,base,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,180,30,59,1.1153313756473584,0.0005795179169050251,-0.00849029087106675,0.01183175972369271,0.889011098890111,0.0006463545154739732,-0.009469487796873087,0.0131963328489552,0.889011098890111,,0.9863524285869285
claude-opus-4-8,diligent,paired_difference,added_chars,Rubric length,"+1,000 characters",179,30,60,0.8599307646116123,0.00274992835958156,0.0,0.006710438508540246,0.7824217578242175,0.0023647479968821276,0.0,0.005770512517528222,1.0,,0.9863524285869285
claude-opus-4-8,diligent,paired_difference,added_criteria,Criterion count,+1 criterion,179,30,52,0.9687866050031448,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0
claude-opus-4-8,diligent,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",179,30,60,0.5333134653189461,-0.00436506857953418,-0.022627466808556637,0.0050311317813122374,0.8857114288571143,-0.002327949850506223,-0.012067532735060773,0.0026831703247679113,1.0,,0.9863524285869285
claude-opus-4-8,diligent,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,179,30,60,1.0250556643484576,-0.004607911852165366,-0.018011851851460953,0.0,0.5592440755924407,-0.004723366144880501,-0.018463150765745305,0.0,1.0,,0.9256453664978328
gemini-3.1-pro-preview,pooled,paired_difference,added_chars,Rubric length,"+1,000 characters",360,30,120,1.007120917562828,0.0044566731791363026,-0.017546348188429966,0.030102652966130322,0.7543245675432457,0.004488408781449398,-0.017671294287408452,0.030317011476324554,0.9658034196580342,,0.9863524285869285
gemini-3.1-pro-preview,pooled,paired_difference,added_criteria,Criterion count,+1 criterion,360,30,112,1.0826921179274476,0.003949447077409164,-0.01676940700328056,0.02627190540669077,0.7794220577942206,0.0042760352208824955,-0.0181561047847692,0.02844438490675959,0.9658034196580342,,0.9863524285869285
gemini-3.1-pro-preview,pooled,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",360,30,120,0.6193603914523433,0.0009329081472155709,-0.037237277414355036,0.04034783366254084,0.9658034196580342,0.0005778063552485163,-0.023063294715974438,0.02498985005148533,0.9658034196580342,,0.9863524285869285
gemini-3.1-pro-preview,pooled,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,360,30,119,1.074154493773693,-0.003931910761346568,-0.02552790036236856,0.016093503090515295,0.7527247275272473,-0.0042234796134175585,-0.02742090889084528,0.017286908665237823,0.9658034196580342,,0.9863524285869285
gemini-3.1-pro-preview,base,paired_difference,added_chars,Rubric length,"+1,000 characters",180,30,60,1.1371882967311184,-0.005077853983774065,-0.03660977067743294,0.029477291887032332,0.7794220577942206,-0.005774476122857353,-0.04163220276038681,0.033521231353260315,0.9064093590640936,,0.9863524285869285
gemini-3.1-pro-preview,base,paired_difference,added_criteria,Criterion count,+1 criterion,180,30,60,1.1879019787470309,-0.0026246719160104995,-0.03225806451612903,0.029595459093521806,0.9064093590640936,-0.003117852962590633,-0.03831941866925906,0.03515650441912136,0.9064093590640936,,0.9863524285869285
gemini-3.1-pro-preview,base,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",180,30,60,0.6954246572339011,-0.022552736402748845,-0.07942117853964001,0.03729487814408584,0.42795720427957207,-0.01568372898256814,-0.055231445863041614,0.025935777849931004,0.8559144085591441,,0.8559144085591441
gemini-3.1-pro-preview,base,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,180,30,59,1.1153313756473584,-0.023095059083997994,-0.055612052104599956,0.004866778059339438,0.1566843315668433,-0.025758644018812504,-0.06202586657639604,0.005428070267893437,0.6267373262673732,,0.808823465479539
gemini-3.1-pro-preview,diligent,paired_difference,added_chars,Rubric length,"+1,000 characters",180,30,60,0.8575475864131175,0.021223368229825495,-0.007337914925913344,0.053978954563666665,0.37136286371362864,0.01820004820104369,-0.006292611234021778,0.04628952220317568,0.4951504849515049,,0.808823465479539
gemini-3.1-pro-preview,diligent,paired_difference,added_criteria,Criterion count,+1 criterion,180,30,52,0.9660917830792959,0.01388888888888889,-0.011416834234007793,0.03891126343988266,0.5480451954804519,0.013417941431656888,-0.011029709742253336,0.03759185187850445,0.5480451954804519,,0.9256453664978328
gemini-3.1-pro-preview,diligent,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",180,30,60,0.5325402661875542,0.04098246839870999,-0.011754129221941452,0.08869979245884389,0.25817418258174185,0.021824814630072048,-0.00625954710465561,0.04723621108681354,0.4951504849515049,,0.808823465479539
gemini-3.1-pro-preview,diligent,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,180,30,60,1.0313348997706848,0.018479813560319726,-0.011218162574218454,0.056472564085384085,0.35776422357764226,0.019058876666013285,-0.011569682574092837,0.058242126220793174,0.4951504849515049,,0.808823465479539
